gender;income_type;education;age_group;dob_years;family_status;children;education_id;family_status_id;debt;total_income;years_employed;purpose;total_income_group
F;employee;bachelor's degree;adult;42;married;1;0;0;0;40620,102;23,1169124;housing transactions;income between 40k to 79k
F;employee;secondary education;adult;36;married;1;1;0;0;17932,802;11,0268596;purchase of a car;income less than 20000
M;employee;secondary education;adult;33;married;0;1;0;0;23341,752;15,40663729;housing transactions;income between 20k to 39k
M;employee;secondary education;adult;32;married;3;1;0;0;42820,568;11,30067728;getting an education;income between 40k to 79k
F;retiree;secondary education;older adult;53;civil partnership;0;1;1;0;25378,572;8,438326033;wedding ceremony;income between 20k to 39k
M;business;bachelor's degree;young adult;27;civil partnership;0;0;1;0;40922,17;2,537495427;housing transactions;income between 40k to 79k
F;business;bachelor's degree;adult;43;married;0;0;0;0;38484,156;7,8882248;housing transactions;income between 20k to 39k
M;employee;secondary education;older adult;50;married;0;1;0;0;21731,829;0,418574162;getting an education;income between 20k to 39k
F;employee;bachelor's degree;adult;35;civil partnership;2;0;1;0;15337,093;18,98593233;wedding ceremony;income less than 20000
M;employee;secondary education;adult;41;married;0;1;0;0;23108,15;5,996593;housing transactions;income between 20k to 39k
M;business;bachelor's degree;adult;36;married;2;0;0;0;18230,959;11,42872232;real estate transactions;income less than 20000
F;employee;secondary education;adult;40;married;0;1;0;0;12331,077;2,171785992;real estate transactions;income less than 20000
M;retiree;secondary education;elder;65;civil partnership;0;1;1;0;18829,79051;8,500306621;wedding ceremony;income less than 20000
F;employee;some college;older adult;54;married;0;2;0;0;20873,317;5,059292989;purchase of a car;income between 20k to 39k
F;business;bachelor's degree;older adult;56;civil partnership;0;0;1;1;26420,466;5,054674472;real estate transactions;income between 20k to 39k
F;employee;secondary education;young adult;26;married;1;1;0;0;18691,345;2,664012107;housing transactions;income less than 20000
F;employee;secondary education;adult;35;married;0;1;0;0;46272,433;4,712148565;housing transactions;income between 40k to 79k
M;employee;bachelor's degree;adult;33;civil partnership;0;0;1;0;14465,694;6,493149918;housing transactions;income less than 20000
F;retiree;secondary education;older adult;53;widow / widower;0;1;2;0;9091,804;9,868346448;purchase of a car;income less than 20000
F;employee;secondary education;adult;48;divorced;0;1;3;0;38852,977;27,50361246;purchase of a car;income between 20k to 39k
M;employee;secondary education;adult;36;married;1;1;0;0;33528,423;3,593436072;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;33;civil partnership;1;1;1;0;21089,953;0,695027851;purchase of a car;income between 20k to 39k
F;employee;secondary education;young adult;24;civil partnership;1;1;1;0;23948,983;4,840120925;purchase of a car;income between 20k to 39k
M;employee;bachelor's degree;young adult;21;civil partnership;0;0;1;0;20522,515;0,747894206;wedding ceremony;income between 20k to 39k
F;retiree;secondary education;older adult;57;unmarried;1;1;4;0;46487,558;11,01817613;real estate transactions;income between 40k to 79k
M;retiree;secondary education;elder;67;married;0;1;0;0;8818,041;7,537590589;real estate transactions;income less than 20000
M;civil servant;secondary education;adult;41;married;0;1;0;0;31441,01625;9,01115017;getting an education;income between 20k to 39k
M;employee;bachelor's degree;young adult;28;married;0;0;0;0;49415,837;1,449840095;housing transactions;income between 40k to 79k
F;employee;bachelor's degree;young adult;26;married;1;0;0;0;30058,118;1,965135134;housing transactions;income between 20k to 39k
F;retiree;secondary education;older adult;63;unmarried;0;1;4;0;21037,5562;9,413129869;real estate transactions;income between 20k to 39k
F;retiree;secondary education;older adult;62;married;1;1;0;0;27432,971;7,717587349;real estate transactions;income between 20k to 39k
F;employee;primary education;adult;47;married;0;3;0;0;44077,71;4,608447776;housing transactions;income between 40k to 79k
F;employee;secondary education;adult;34;civil partnership;0;1;1;1;22249,194;12,73948173;wedding ceremony;income between 20k to 39k
F;business;secondary education;adult;48;married;0;1;0;0;25159,326;4,242842585;housing transactions;income between 20k to 39k
F;employee;secondary education;adult;35;married;0;1;0;0;16745,672;12,29607406;real estate transactions;income less than 20000
M;retiree;secondary education;elder;68;civil partnership;0;1;1;0;12448,908;19,34385045;wedding ceremony;income less than 20000
M;employee;secondary education;adult;33;unmarried;0;1;4;0;22212,904;0,482785447;purchase of a car;income between 20k to 39k
F;business;bachelor's degree;adult;43;civil partnership;0;0;1;0;24660,621;17,66797496;purchase of a car;income between 20k to 39k
M;employee;bachelor's degree;young adult;25;unmarried;0;0;4;1;30759,568;1,638032404;getting an education;income between 20k to 39k
F;business;bachelor's degree;adult;31;civil partnership;0;0;1;0;120678,528;1,782432319;getting an education;income more than 120k
M;business;secondary education;adult;30;unmarried;0;1;4;0;22858,493;2,822911248;real estate transactions;income between 20k to 39k
F;civil servant;secondary education;older adult;50;married;0;1;0;0;23187,0772;14,04394493;purchase of a car;income between 20k to 39k
F;employee;some college;young adult;20;unmarried;0;2;4;0;13130,414;3,445195042;getting an education;income less than 20000
F;business;some college;adult;43;divorced;0;2;3;0;43673,141;11,98816818;purchase of a car;income between 40k to 79k
F;employee;secondary education;young adult;26;married;1;1;0;0;16124,879;3,731621171;purchase of a car;income less than 20000
